推广创意,ID,推广计划,推广单元,计划类型,状态,创意图片,商品SKU,落地页地址,到期时间,创意尺寸,展现数,点击数,点击率(%),总费用,千次展现成本,平均点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,直接购物车数,间接购物车数,总购物车数,转化率(%),ROI,CPA,资源位,
10023409192219-音箱/音响,3716547336,小米音箱,小米音箱,商品,有效,jfs/t1/165656/17/11507/80223/604977ccE9781b223/5e872b32ce6c3c62.jpg,10023409192219,https://item.jd.com/10023409192219.html,不限,350×350,718,19,2.65,13.77,19.18,0.72,0,0.00,0,0.00,0,0.00,1,0,1,0.00,0.00,0.00,汇总,
10023409192219-音箱/音响,3716547336,小米音箱,小米音箱,商品,有效,jfs/t1/165656/17/11507/80223/604977ccE9781b223/5e872b32ce6c3c62.jpg,10023409192219,https://item.jd.com/10023409192219.html,不限,350×350,9,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10023409192219-音箱/音响,3716547336,小米音箱,小米音箱,商品,有效,jfs/t1/165656/17/11507/80223/604977ccE9781b223/5e872b32ce6c3c62.jpg,10023409192219,https://item.jd.com/10023409192219.html,不限,350×350,79,2,2.53,1.51,19.11,0.76,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,搜索,
10023409192219-音箱/音响,3716547336,小米音箱,小米音箱,商品,有效,jfs/t1/165656/17/11507/80223/604977ccE9781b223/5e872b32ce6c3c62.jpg,10023409192219,https://item.jd.com/10023409192219.html,不限,350×350,630,17,2.70,12.26,19.46,0.72,0,0.00,0,0.00,0,0.00,1,0,1,0.00,0.00,0.00,商品,
10028575457533-智能手表,3692400153,华米手表GTR2,华米手表,商品,有效,jfs/t1/176320/6/5508/134412/607e6366E9d08fec1/eefe5420974fb03b.jpg,10028575457533,https://item.jd.com/10028575457533.html,不限,350×350,563,14,2.49,7.65,13.59,0.55,0,0.00,0,0.00,0,0.00,1,1,2,0.00,0.00,0.00,汇总,
10028575457533-智能手表,3692400153,华米手表GTR2,华米手表,商品,有效,jfs/t1/176320/6/5508/134412/607e6366E9d08fec1/eefe5420974fb03b.jpg,10028575457533,https://item.jd.com/10028575457533.html,不限,350×350,290,5,1.72,2.44,8.41,0.49,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10028575457533-智能手表,3692400153,华米手表GTR2,华米手表,商品,有效,jfs/t1/176320/6/5508/134412/607e6366E9d08fec1/eefe5420974fb03b.jpg,10028575457533,https://item.jd.com/10028575457533.html,不限,350×350,72,3,4.17,1.13,15.69,0.38,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,搜索,
10028575457533-智能手表,3692400153,华米手表GTR2,华米手表,商品,有效,jfs/t1/176320/6/5508/134412/607e6366E9d08fec1/eefe5420974fb03b.jpg,10028575457533,https://item.jd.com/10028575457533.html,不限,350×350,201,6,2.99,4.08,20.30,0.68,0,0.00,0,0.00,0,0.00,1,1,2,0.00,0.00,0.00,商品,
10029658591368-智能手表,3692400152,华米手表GTR2,华米手表,商品,有效,jfs/t1/176794/2/200/144430/607f90e7Eb40eefb6/276c05e860151146.jpg,10029658591368,https://item.jd.com/10029658591368.html,不限,350×350,186,4,2.15,2.84,15.27,0.71,0,0.00,1,999.00,1,999.00,0,1,1,25.00,351.76,2.84,汇总,
10029658591368-智能手表,3692400152,华米手表GTR2,华米手表,商品,有效,jfs/t1/176794/2/200/144430/607f90e7Eb40eefb6/276c05e860151146.jpg,10029658591368,https://item.jd.com/10029658591368.html,不限,350×350,127,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10029658591368-智能手表,3692400152,华米手表GTR2,华米手表,商品,有效,jfs/t1/176794/2/200/144430/607f90e7Eb40eefb6/276c05e860151146.jpg,10029658591368,https://item.jd.com/10029658591368.html,不限,350×350,3,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,搜索,
10029658591368-智能手表,3692400152,华米手表GTR2,华米手表,商品,有效,jfs/t1/176794/2/200/144430/607f90e7Eb40eefb6/276c05e860151146.jpg,10029658591368,https://item.jd.com/10029658591368.html,不限,350×350,56,4,7.14,2.84,50.71,0.71,0,0.00,1,999.00,1,999.00,0,1,1,25.00,351.76,2.84,商品,
71816873169-智能手表,3674867315,华为手表GT2,华为手表GT2,商品,暂停,jfs/t1/174815/38/5281/168782/607d3497E6a3fb87b/73b09fd0a26045c7.jpg,71816873169,https://item.jd.com/71816873169.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,汇总,
